Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
LPG,U-Haul,8150 E Colfax Ave,At Unita,Denver,CO,80220,,303-399-7010,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.739738,-104.893217,2023-02-13,20344,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,7540 York St,"North of Highway 224, Suite B",Denver,CO,80229,,303-286-2766,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.833756,-104.958094,2023-02-13,20346,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,9190 W Jewell Ave,At Garrison,Lakewood,CO,80232,,303-986-5873,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,39.681789,-105.099723,2023-02-13,20349,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,3105 N Nevada Ave,North of Filmore,Colorado Springs,CO,80907,,719-632-4695,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,38.876658,-104.81853,2023-02-13,20357,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,1193 N Academy Blvd,Between Galley Rd and San Miguel St,Colorado Springs,CO,80909,,719-574-6500,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,38.849398,-104.757291,2023-02-13,20358,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
LPG,U-Haul,4030 Carruth Ct,At Highway 50 W and I-25,Pueblo,CO,81008,,719-546-1826,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,GPS,38.3099323,-104.6132315,2023-02-13,20359,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,true,,,US,,,,Public,,public,,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false,,,,,,,,HD,
E85,Sinclair,295 S Broadway,Alameda and S Broadway,Denver,CO,80209,,303-765-5580,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.71153,-104.98792,2022-11-10,20899,2023-09-21 21:29:02 UTC,P,,,2002-10-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
LPG,Independent Propane Co,880 E Agate Ct,"East on County Road 60, first right down the hill, station on dirt road by railroad tracks on right next to The Saw Mill",Granby,CO,80446,,970-887-3371,E,,Public,8am-5pm M-F,Cash M V,,,,,,,,,,GPS,40.08448823321663,-105.9283874123726,2022-11-10,21148,2023-02-14 15:54:11 UTC,P,,,2001-12-03,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false,,,,,,,,HD,
E85,Acorn Petroleum,1041 N Colorado Ave,Off I-76,Brush,CO,80723,,970-842-3122,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,40.26647,-103.62136,2022-11-10,21996,2023-09-21 21:11:53 UTC,P,,,2005-04-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
BD,Shoco Oil,5135 E 74th Ave,,Commerce City,CO,80022,,303-289-1677,E,,Public - Credit card after hours,"6am-6pm M-F, 7am-12pm Sat",Cash M V,"B99, B20",,,,,,,,,200-9,39.832768,-104.927427,2022-11-10,23766,2023-02-14 15:54:11 UTC,P,,,2003-11-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,STANDALONE_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,2775 Briargate Blvd,Corner of Union and Briargate Blvd,Colorado Springs,CO,80920,,719-268-2703,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,38.941168,-104.775784,2022-11-10,31460,2023-09-21 21:23:14 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Cenex - Agland,2449 35th Ave,,Greeley,CO,80634,,970-339-5040,E,,Public - Credit card after hours,6am-9pm daily,A Cash D M V Wright_Exp,,,,,,,,,,200-8,40.39646,-104.73556,2022-11-10,31488,2023-09-22 18:52:07 UTC,P,,,2007-03-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Poudre Valley Co-op,225 NW Frontage Rd,,Fort Collins,CO,80524,,970-221-5300,E,,Public - Credit card after hours,"7am-6pm M-F, 7am-4pm Sat",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,40.58959,-105.00218,2022-11-10,31535,2023-09-22 18:48:14 UTC,P,,,2007-04-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,COOP,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Alta Convenience Store - Conoco,15201 E Hampden,,Aurora,CO,80014,,303-693-1887,E,,Public - Credit card after hours,5am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.6534,-104.8111,2022-11-10,31668,2023-09-21 21:18:27 UTC,P,,,2007-05-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Alta Convenience Store,2801 N Elizabeth,,Pueblo,CO,81008,,719-544-9249,E,,Public - Credit card after hours,"5am-11pm M-Sat, 6am-11pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.29702,-104.61573,2022-11-10,31734,2023-09-21 21:03:41 UTC,P,,,2007-08-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Alta Convenience Store,723 Pueblo Blvd,,Pueblo,CO,81005,,719-564-6465,E,,Public - Credit card after hours,5am-11pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.25367,-104.66208,2022-11-10,31735,2023-09-21 21:17:00 UTC,P,,,2007-10-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Alta Convenience Store,2105 Colorado Ave,,Colorado Springs,CO,80904,,719-473-7230,E,,Public - Credit card after hours,"6am-11pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.84348,-104.8571,2022-11-10,31785,2023-09-21 21:13:27 UTC,P,,,2007-06-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Alta Convenience Store,1970 S Holly,Holly and Atlantic,Denver,CO,80222,,303-759-5090,E,,Public - Credit card after hours,"6am-11pm M-Sat, 7am-10pm Sun",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.6809,-104.92191,2022-11-10,32279,2023-09-21 20:57:22 UTC,P,,,2007-10-15,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,2507 E Platte Ave,,Colorado Springs,CO,80907,,719-634-4049,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.83907,-104.77932,2022-11-10,32404,2023-09-21 21:39:24 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,2387 W 72nd Ave,,Denver,CO,80221,,303-429-5754,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.82759,-105.01522,2022-11-10,32406,2023-09-22 18:26:14 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,1500 N Main St,,Longmont,CO,80501,,303-651-1000,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,40.18512,-105.10205,2022-11-10,32409,2023-09-22 18:57:05 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,3201 Lake Ave,,Pueblo,CO,81004,,719-564-0591,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.2183,-104.62564,2022-11-10,32410,2023-09-22 18:23:07 UTC,P,,,2007-10-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,9190 Huron St,,Thornton,CO,80260,,303-412-0065,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-9,39.863116,-104.996078,2022-11-10,32411,2023-09-22 18:55:46 UTC,P,,,2007-08-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
BD,Team Petroleum,105 E Lincoln,,Fort Collins,CO,80524,,970-482-2533,E,,Public - Credit card after hours,7am-5pm M-F,Cash M V,"B20 in summer, B10 in winter",,,,,,,,,200-9,40.587877,-105.067097,2022-11-10,32493,2023-02-14 15:54:11 UTC,P,,,2007-08-15,,,,,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,FUEL_RESELLER,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Eagle Convenience #5 - Cenex,600 E 8th Ave,,Yuma,CO,80759,,970-848-2107,E,,Public,24 hours daily,A Cash D M V Wright_Exp,,,,,,,,,,200-8,40.11991,-102.71607,2022-11-10,32736,2023-09-22 18:49:48 UTC,P,,,2007-01-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Kum & Go #934,8105 6th St,,Wellington,CO,80549,,970-568-3173,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-8,40.702201,-105.000419,2023-03-08,33325,2023-03-08 17:16:33 UTC,P,,,2008-07-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Thunderbird Petroleum,322 Highway 96,,Sheridan Lake,CO,81071,,719-729-3316,E,,Public,7am-7pm daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.46584,-102.29128,2022-11-10,33343,2023-09-21 20:58:49 UTC,P,,,2007-09-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Kum & Go #914,7027 20th St,,Greeley,CO,80634,,970-330-8552,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,40.407386,-104.7935,2023-03-08,33397,2023-03-08 17:16:33 UTC,P,,,2008-02-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Western Convenience Store,123 W Cranson Ave,,Fowler,CO,81039,,719-263-5679,E,,Public,5am-10pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-8,38.13112,-104.0247,2022-11-10,33435,2023-09-21 21:09:34 UTC,P,,,2008-07-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,2630 Colorado Blvd,,Idaho Springs,CO,80452,,303-567-2156,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.74174,-105.50263,2022-11-10,33442,2023-09-22 18:34:41 UTC,P,,,2014-05-16,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Boulder Gas,2995 28th St,,Boulder,CO,80301,,303-444-6566,E,,Public - Credit card after hours,5am-12am daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-8,40.02879,-105.2588,2022-08-10,33443,2023-09-21 21:27:02 UTC,P,,,2015-03-24,,,,false,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,GAS_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,12702 Lowell Blvd,At 128th and Lowell,Broomfield,CO,80020,,303-404-2550,E,,Public,24 hours daily,A Cash Checks D M V Wright_Exp,,,,,,,,,,200-8,39.92707,-105.03405,2022-11-10,33908,2023-09-22 18:58:02 UTC,P,,,2009-02-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Western Convenience Store,227 W Fillmore St,,Colorado Springs,CO,80907,,719-630-3493,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.87468,-104.82663,2022-11-10,33910,2023-09-22 18:43:06 UTC,P,,,2009-06-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,
E85,Kum & Go #912,30393 Kings Valley Dr,,Conifer,CO,80433,,303-816-0558,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,39.493385,-105.349489,2023-03-08,34275,2023-03-08 17:16:33 UTC,P,,,2008-11-12,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Kum & Go #940,70 W Bridge,,Brighton,CO,80601,,303-659-9546,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,39.986413,-104.825038,2023-03-08,35445,2023-03-08 17:16:33 UTC,P,,,2009-05-15,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Kum & Go #973,127 Laura Way,,Dacono,CO,80514,,303-833-3935,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,40.08238,-104.949175,2023-03-08,35446,2023-03-08 17:16:33 UTC,P,,,2009-07-30,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Kum & Go #938,308 Agate Ave,,Granby,CO,80446,,970-887-3031,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,200-9,40.085906,-105.947125,2023-03-08,35447,2023-03-08 17:16:33 UTC,P,,,2020-01-17,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Kum & Go #913,13799 Pacific Cir,,Longmont,CO,80504,,970-535-4601,E,,Public,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,,,,,,,GPS,40.203883,-104.975044,2023-03-08,35527,2023-03-08 17:16:33 UTC,P,,,2009-09-18,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,,
E85,Stratton Equity Co-op,515 Lincoln St,,Burlington,CO,80807,,719-346-5560,E,,Public - Credit card after hours,"7am-5pm M-F, 7am-12pm Sat",A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,39.30535,-102.278774,2023-08-10,35599,2023-08-10 16:58:49 UTC,P,,,2020-02-28,,,,true,,US,,,,Public - Carte de crédit après les heures d'ouverture,,public,CREDIT_CARD_AFTER_HOURS,,COOP,,,,,,"[""E15""]",,,,,,,,,,,false,,,,,,,,MD,
CNG,X3Energy,7984 US Highway 85,Weld County Rd 18,Fort Lupton,CO,80621,,844-304-9800,E,,Public - Credit card at all times,24 hours daily,A D FuelMan M Proprietor V Wright_Exp,,Q,3600,,,,,,,200-9,40.115736,-104.81034,2023-01-10,36294,2023-05-30 18:46:28 UTC,P,,,2012-12-06,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRUCK_STOP,1,NONE,2,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,
CNG,X3Energy,103 Hill St,Station is located at US-34,Kersey,CO,80644,,844-304-9800,E,,Public - Credit card at all times,24 hours daily,A D FuelMan M Proprietor V Wright_Exp,,Q,3600,,,,,,,200-8,40.392048,-104.564368,2023-01-10,36295,2023-05-30 18:46:28 UTC,P,,,2012-12-20,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRUCK_STOP,1,NONE,2,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,
CNG,City of Grand Junction,2553 Riverside Pkwy,Riverside Pkwy and Broadway,Grand Junction,CO,81501,,970-245-3440,E,,Public - Credit card at all times,24 hours daily,GasCard M V,,Q,3600,,,,,,,200-8,39.073697,-108.582361,2022-11-10,36775,2023-05-30 18:46:28 UTC,LG,,,2011-03-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,1,WASTEWATER,136,34105,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Located in the indoor valet and covered self-parking,Commerce City,CO,80022,,303-574-9800,E,,Public,24 hours daily; pay lot,,,,,18,9,1,,Non-Networked,,GPS,39.843886,-104.771138,2021-12-09,38522,2023-06-16 17:39:11 UTC,P,,,2010-10-19,,,,,CHADEMO J1772 NEMA515,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
ELEC,Town of Superior - Town Hall,124 E Coal Creek Dr,McCaslin and E Coal Creek Drive,Superior,CO,80027,,303-499-3675,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,39.953798,-105.166116,2022-11-10,38523,2023-02-14 15:54:11 UTC,LG,,,2020-07-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,$0.18 per kWh for first four hours; additional $25 fee after four hours,,,,,,,,,,false,,,,,,,,LD,false
ELEC,New Belgium Brewing,500 Linden St,,Fort Collins,CO,80524,,970-221-0524,E,,Public - Call ahead,11am-8pm daily,,,,,,4,,,Non-Networked,,200-9,40.593417,-105.0684,2023-01-10,42529,2023-02-14 15:54:11 UTC,P,,,2011-12-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false
